#motif_id	motif_name	motif_description	source_name	source_version	gene_name	motif_similarity_qvalue	similar_motif_id	similar_motif_description	orthologous_identity	orthologous_gene_name	orthologous_species	description
._PGSC0003DMG400003357	._PGSC0003DMG400003357	PGSC0003DMG400003357	CIS_BP	1.1	PGSC0003DMG400003357	0	None	None	1	ABF1	None	BAF1_ABF1
._PGSC0003DMG400017292	._PGSC0003DMG400017292	PGSC0003DMG400017292	CIS_BP	1.1	PGSC0003DMG400017292	0	None	None	1	AFT	None	AFT
M01704_3.00_PGSC0003DMG400000091	M01704_3.00_PGSC0003DMG400000091	PGSC0003DMG400000091	CIS_BP	1.1	PGSC0003DMG400000091	0	None	None	1	AP2	None	AP2
M01715_3.00_PGSC0003DMG400000091	M01715_3.00_PGSC0003DMG400000091	PGSC0003DMG400000091	CIS_BP	1.1	PGSC0003DMG400000091	0	None	None	1	AP2	None	AP2
M00914_3.00_PGSC0003DMG400000365	M00914_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M01702_3.00_PGSC0003DMG400000365	M01702_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M01709_3.00_PGSC0003DMG400000365	M01709_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07004_3.00_PGSC0003DMG400000365	M07004_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07005_3.00_PGSC0003DMG400000365	M07005_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07013_3.00_PGSC0003DMG400000365	M07013_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07019_3.00_PGSC0003DMG400000365	M07019_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07020_3.00_PGSC0003DMG400000365	M07020_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07036_3.00_PGSC0003DMG400000365	M07036_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07037_3.00_PGSC0003DMG400000365	M07037_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07040_3.00_PGSC0003DMG400000365	M07040_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07041_3.00_PGSC0003DMG400000365	M07041_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07056_3.00_PGSC0003DMG400000365	M07056_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M07057_3.00_PGSC0003DMG400000365	M07057_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M10845_3.00_PGSC0003DMG400000365	M10845_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M10863_3.00_PGSC0003DMG400000365	M10863_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M10864_3.00_PGSC0003DMG400000365	M10864_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
M10865_3.00_PGSC0003DMG400000365	M10865_3.00_PGSC0003DMG400000365	PGSC0003DMG400000365	CIS_BP	1.1	PGSC0003DMG400000365	0	None	None	1	AP2	None	AP2
._PGSC0003DMG400000445	._PGSC0003DMG400000445	PGSC0003DMG400000445	CIS_BP	1.1	PGSC0003DMG400000445	0	None	None	1	AP2	None	AP2
._PGSC0003DMG400000446	._PGSC0003DMG400000446	PGSC0003DMG400000446	CIS_BP	1.1	PGSC0003DMG400000446	0	None	None	1	AP2	None	AP2
M01685_3.00_PGSC0003DMG400000636	M01685_3.00_PGSC0003DMG400000636	PGSC0003DMG400000636	CIS_BP	1.1	PGSC0003DMG400000636	0	None	None	1	AP2	None	AP2
M01694_3.00_PGSC0003DMG400000636	M01694_3.00_PGSC0003DMG400000636	PGSC0003DMG400000636	CIS_BP	1.1	PGSC0003DMG400000636	0	None	None	1	AP2	None	AP2
M06982_3.00_PGSC0003DMG400000636	M06982_3.00_PGSC0003DMG400000636	PGSC0003DMG400000636	CIS_BP	1.1	PGSC0003DMG400000636	0	None	None	1	AP2	None	AP2
M06983_3.00_PGSC0003DMG400000636	M06983_3.00_PGSC0003DMG400000636	PGSC0003DMG400000636	CIS_BP	1.1	PGSC0003DMG400000636	0	None	None	1	AP2	None	AP2
M07072_3.00_PGSC0003DMG400000636	M07072_3.00_PGSC0003DMG400000636	PGSC0003DMG400000636	CIS_BP	1.1	PGSC0003DMG400000636	0	None	None	1	AP2	None	AP2
M07073_3.00_PGSC0003DMG400000636	M07073_3.00_PGSC0003DMG400000636	PGSC0003DMG400000636	CIS_BP	1.1	PGSC0003DMG400000636	0	None	None	1	AP2	None	AP2
M00774_3.00_PGSC0003DMG400000681	M00774_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M00775_3.00_PGSC0003DMG400000681	M00775_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M00919_3.00_PGSC0003DMG400000681	M00919_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M00920_3.00_PGSC0003DMG400000681	M00920_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01127_3.00_PGSC0003DMG400000681	M01127_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01181_3.00_PGSC0003DMG400000681	M01181_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01182_3.00_PGSC0003DMG400000681	M01182_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01688_3.00_PGSC0003DMG400000681	M01688_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01689_3.00_PGSC0003DMG400000681	M01689_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01690_3.00_PGSC0003DMG400000681	M01690_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01698_3.00_PGSC0003DMG400000681	M01698_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01699_3.00_PGSC0003DMG400000681	M01699_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01704_3.00_PGSC0003DMG400000681	M01704_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M01725_3.00_PGSC0003DMG400000681	M01725_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06967_3.00_PGSC0003DMG400000681	M06967_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06968_3.00_PGSC0003DMG400000681	M06968_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06980_3.00_PGSC0003DMG400000681	M06980_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06981_3.00_PGSC0003DMG400000681	M06981_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06989_3.00_PGSC0003DMG400000681	M06989_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06990_3.00_PGSC0003DMG400000681	M06990_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06991_3.00_PGSC0003DMG400000681	M06991_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M06992_3.00_PGSC0003DMG400000681	M06992_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07021_3.00_PGSC0003DMG400000681	M07021_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07022_3.00_PGSC0003DMG400000681	M07022_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07025_3.00_PGSC0003DMG400000681	M07025_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07026_3.00_PGSC0003DMG400000681	M07026_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
M07029_3.00_PGSC0003DMG400000681	M07029_3.00_PGSC0003DMG400000681	PGSC0003DMG400000681	CIS_BP	1.1	PGSC0003DMG400000681	0	None	None	1	AP2	None	AP2
